Ime,Starost,Poklic,Rojstni dan
Natalie Nunn,39,Reality Star,26-12
Jade Thirlwall,31,Pop Singer,26-12
Andy Biersack,33,Rock Singer,26-12
Jared Leto,52,Movie Actor,26-12
Lars Ulrich,60,Drummer,26-12
Marina Satti,37,World Music Singer,26-12
Eden Sher,32,TV Actress,26-12
Kit Harington,37,TV Actor,26-12
Martin Niyonsenga,21,TikTok Star,26-12
Natalie Tran,19,TikTok Star,26-12
Neisha streeterandneisha,24,TikTok Star,26-12
Prodigy,27,Rapper,26-12
Liyah Li,21,YouTube Star,26-12
Sophia Pippen,15,Instagram Star,26-12
Kadin Kerns,31,TikTok Star,26-12
Leanna Powell,13,YouTube Star,26-12
Alexander Wang,40,Fashion Designer,26-12
McKenzie Morales,21,Dancer,26-12
Chris Daughtry,44,Rock Singer,26-12
Jon Bellion,33,Rapper,26-12
Cloakzy,29,Twitch Star,26-12
Dorian Raynaud,22,TikTok Star,26-12
Daniella Karagach,31,Dancer,26-12
Isac Elliot,23,Pop Singer,26-12
Betsy Mikesell,43,YouTube Star,26-12
Jameson Moon Hart,7,Family Member,26-12
Hugo Lloris,37,Soccer Player,26-12
UnitedGamer,29,YouTube Star,26-12
Samantha Boscarino,29,TV Actress,26-12
Aaron Ramsey,33,Soccer Player,26-12
Faith Lianne,21,Instagram Star,26-12
Ismanol Jersey,20,TikTok Star,26-12
Koryn Hawthorne,26,Soul Singer,26-12
Beth Behrs,38,TV Actress,26-12
Yohan Blake,34,Runner,26-12
Christian J. Simon,16,TV Actor,26-12
Dana Alexa,34,Instagram Star,26-12
HelloItsVG,23,YouTube Star,26-12
Caro Viee,26,Instagram Star,26-12
Nya Kasan,22,Reality Star,26-12
Illenium,33,DJ,26-12
Christon Staples,37,Reality Star,26-12
Lily Stalbaum,21,Reality Star,26-12
Kaycee Clark,36,Reality Star,26-12
Abdul Duke Fakir,88,Opera Singer,26-12
