Ime,Starost,Poklic,Rojstni dan
Ryder Tully,14,Pop Singer,14-10
Usher,45,R&B Singer,14-10
Jelly,27,YouTube Star,14-10
Rowan Blanchard,22,TV Actress,14-10
jazmynmakenna,20,TikTok Star,14-10
Fernanda Ramirez,22,YouTube Star,14-10
Arthur Leclerc,23,Race Car Driver,14-10
Justin Ortiz,31,Twitch Star,14-10
Nate Crosiar,19,TikTok Star,14-10
Nicole Jacky,26,Reality Star,14-10
Shyla Walker,26,Instagram Star,14-10
Nastya Odnovol,15,YouTube Star,14-10
Quinn Hughes,24,Hockey Player,14-10
Christi Lynn Fritz,27,TikTok Star,14-10
Bella Albanese,15,Family Member,14-10
Ruby Siu,45,Pop Singer,14-10
Ralph Lauren,84,Fashion Designer,14-10
Vasilisa Kaganovskaya,18,Figure Skater,14-10
Omma,20,YouTube Star,14-10
Grant Feely,12,TV Actor,14-10
Jensen Arnold,26,Dancer,14-10
Talisa Tossell,28,YouTube Star,14-10
Mason McNulty,18,TV Actor,14-10
Charlie Kirk,30,Business Executive,14-10
Jared Goff,29,Football Player,14-10
Christine Quinn,35,Reality Star,14-10
Kaitlynn Rhenea,20,YouTube Star,14-10
Cylia Chasman,18,Instagram Star,14-10
Shaggy 2 Dope,49,Rapper,14-10
Billy B.E.A.M SQUAD,33,YouTube Star,14-10
Gabi Belle,26,YouTube Star,14-10
Lil XXEL,23,Rapper,14-10
Caroline Harvey,21,Hockey Player,14-10
Aldo_geo,27,Twitch Star,14-10
Addison Wingate,24,Reality Star,14-10
Alex Scott,39,Soccer Player,14-10
Stephen A. Smith,56,Radio Host,14-10
Max Thieriot,35,TV Actor,14-10
Cliff Richard,83,Pop Singer,14-10
Michelle Emerson,30,YouTube Star,14-10
Christian Herr,19,TikTok Star,14-10
PGF Nuk,22,Rapper,14-10
Jay Pharoah,36,Comedian,14-10
Jon Seda,53,TV Actor,14-10
Andrew Gregory,24,Instagram Star,14-10
