Ime,Starost,Poklic,Rojstni dan
Kevin Hart,45,Comedian,06-07
Tia Mowry,46,TV Actress,06-07
Klailea Bennett,21,YouTube Star,06-07
50 Cent,49,Rapper,06-07
Ludwig Ahgren,29,YouTube Star,06-07
Elton Castee,34,YouTube Star,06-07
Sylvester Stallone,78,Movie Actor,06-07
Anthony Pyatt,31,TV Actor,06-07
George W. Bush,78,US President,06-07
RØMA,22,Rapper,06-07
Noah Miller,21,TikTok Star,06-07
Tamera Mowry,46,TV Actress,06-07
Dylan Kingwell,20,TV Actor,06-07
Patty Mayo,37,YouTube Star,06-07
Daithi De Nogla,32,YouTube Star,06-07
Lily LaBrant,15,YouTube Star,06-07
Zion Williamson,24,Basketball Player,06-07
Mekonnen Knife,18,TV Actor,06-07
Naya Loyden,24,TikTok Star,06-07
Techy,22,YouTube Star,06-07
Levinhotho,23,TikTok Star,06-07
Jack Duff,25,Pop Singer,06-07
hawkreallyhatesyou,30,TikTok Star,06-07
Eva Green,44,Movie Actress,06-07
Courtney Hadwin,20,Pop Singer,06-07
Comethazine,26,Rapper,06-07
Haley Jordan,30,YouTube Star,06-07
Lauren Elizabeth,30,YouTube Star,06-07
Jake Joseph Everett-Rose,24,TikTok Star,06-07
Larsa Pippen,50,Reality Star,06-07
Chrissy Horton,36,TikTok Star,06-07
Neymar Tannerites,2,Family Member,06-07
Ranveer Singh,39,Movie Actor,06-07
Cody Fern,36,TV Actor,06-07
Cameron Roh,20,TikTok Star,06-07
Original.don,22,TikTok Star,06-07
hazey_haley,22,Instagram Star,06-07
Sebastián Rulli,49,Soap Opera Actor,06-07
Judy Spera,74,Family Member,06-07
Manny Machado,32,Baseball Player,06-07
Nadia Amine,24,Twitch Star,06-07
Kalvin Garrah,24,YouTube Star,06-07
Molly Clancy,30,Movie Actress,06-07
Dalai Lama,89,Religious Leader,06-07
Pau Gasol,44,Basketball Player,06-07
Kate Nash,37,Pop Singer,06-07
